,t,p,H2O,CO,CH4,CO2,N2O,O2,O3,z
0,290.02999999999986,99944.99999999997,0.003763110267904944,1.4940805086296435e-07,1.7014697161635203e-06,0.0004202244996298457,3.2025248700470357e-07,0.2091705227721253,2.7834039604962772e-08,0.0
1,280.04930197439927,88973.04114408449,0.003500507051720246,1.4474351228802203e-07,1.7009748457167483e-06,0.00042013317884386333,3.2018238913416365e-07,0.20912543015063326,2.804832804705254e-08,972.3506138374298
2,276.73250092756984,79205.58357523593,0.001350766303804687,1.401014106571362e-07,1.7012060768538373e-06,0.0004201270395664919,3.202110654365979e-07,0.20911623552667813,2.849509573539062e-08,1921.3316449949202
3,271.19,70510.3971812566,0.0008898769727531027,1.3565941782737047e-07,1.701415914842242e-06,0.0004203062801589771,3.202805884403443e-07,0.20919327759901274,3.1589329836040135e-08,2854.473933016796
4,265.1251758678234,62769.76806737378,0.000906587521867506,1.3221950946296237e-07,1.699398366867333e-06,0.00042027852884537727,3.202982979534619e-07,0.20918554236052805,3.482070075226006e-08,3767.7240257267185
5,259.11472478020016,55878.904966362395,0.0007725665886813714,1.307231618035517e-07,1.6918850232746376e-06,0.0004202128547698058,3.202173053469443e-07,0.20915517170690792,4.292200952850541e-08,4660.3807667269175
6,252.20502491640852,49744.520592911605,0.0007470302500834205,1.2964790609648444e-07,1.6808857155078698e-06,0.00042018206246895775,3.201768822449124e-07,0.20914193351704338,5.255243222605262e-08,5530.99509902572
7,245.54186124729938,44283.56873686411,0.00031804107020587505,1.2762394991151903e-07,1.6663138791962926e-06,0.000420217452518636,3.202367432371371e-07,0.20916288886564055,6.478625792501514e-08,6378.383675106264
8,239.27203689981454,39422.119998318136,0.00016141330361220616,1.2406311978261522e-07,1.6480501871267229e-06,0.0004202704871778255,3.202557998700344e-07,0.2091922577540601,8.217186488487355e-08,7203.606854548903
9,232.96354230666537,35094.36094449343,5.7434214707679864e-05,1.1900340384357485e-07,1.6310075569841488e-06,0.0004200826633610125,3.196832827691434e-07,0.20910420283082465,1.0211364734002461e-07,8007.356135165425
10,227.12337307299603,31241.703139124194,0.00014965789537535988,1.1213208299259161e-07,1.619819012415548e-06,0.000420182071537263,3.17415591819567e-07,0.20915038406810715,1.415471211777842e-07,8790.424873114276
11,221.62293078829276,27811.98998257613,6.103581882793327e-05,1.0481799961589645e-07,1.5989305393141105e-06,0.00042023570916398256,3.1331578700179674e-07,0.20918356199396154,1.9532660817748516e-07,9554.193229929415
12,215.6851669094816,24758.79062502989,2.9230869049646204e-05,9.734356084912084e-08,1.5716191277840871e-06,0.00042021397261142316,3.073013236874011e-07,0.20919638875024676,2.667380140839483e-07,10298.46632274267
13,209.98253126459073,22040.771393852207,1.7574030511316297e-05,8.98560511710669e-08,1.543397683459147e-06,0.00042012221275575294,2.9923114654499554e-07,0.2091982628334622,3.607910541882419e-07,11022.918499889724
14,213.76419306191914,19621.13622564984,4.677866888055045e-06,8.128264145338187e-08,1.5180565665868298e-06,0.0004201408896610568,2.9519430119684704e-07,0.20921521390491488,4.804521290843762e-07,11744.095893429609
15,218.0317008938771,17467.128527674526,2.3032660505848533e-06,7.12858795036195e-08,1.4950706218133415e-06,0.00042018330704302433,2.9010338136498165e-07,0.2091507253504189,6.101616727950354e-07,12478.968832762708
16,217.44037466796254,15549.587724866626,2.093802104958965e-06,6.07262771098459e-08,1.4736509428121503e-06,0.0004202179384062113,2.848001312519929e-07,0.20909393096258913,7.259399736459294e-07,13220.097684698481
17,215.7391092858371,13842.554489150132,1.7474050131112127e-06,5.066985690117477e-08,1.4528771184268543e-06,0.0004202073303807946,2.804615818959051e-07,0.20915906316961624,7.977283200472023e-07,13957.324656326853
18,213.132399725191,12322.91930664252,1.704391549288224e-06,4.254950106900881e-08,1.4314005754496223e-06,0.0004201513296477177,2.7484495195644526e-07,0.2091589631216953,8.719039830385079e-07,14687.219810631144
