z,C2H2,C2H6,CH3Cl,CH4,CO,CO2,COF2,ClO,H2CO,H2O,H2O2,HBr,HCN,HCl,HF,HI,HNO3,HOCl,N2,N2O,NH3,NO,NO2,O2,O3,OH,PH3,SF6,SO2,p,t
35000.0,1.521046e-15,3.422493e-13,7.356289e-12,7.468172e-07,2.488831e-08,0.0003302778,1.000791e-20,5.083951e-10,1.110995e-10,4.603415e-06,1.131134e-10,0.0,8.463928e-11,1.571393e-09,3.482909e-10,3.002373e-12,1.64132e-09,3.212712e-10,0.7815008,9.280672e-08,1.821451e-15,7.143712e-09,7.283565e-09,0.2091648,9.705826e-06,8.357639e-11,1.000791e-20,1.000791e-20,1.160783e-11,600.0,243.1
37500.0,1.321675e-15,1.34181e-13,3.033168e-12,6.625289e-07,2.740805e-08,0.0003303785,1.001123e-20,6.076806e-10,1.131599e-10,4.905742e-06,8.52122e-11,0.0,8.029116e-11,1.692163e-09,3.724208e-10,3.003368e-12,9.689062e-10,3.043638e-10,0.7818904,6.700192e-08,9.27025e-16,9.350791e-09,6.266882e-09,0.2092451,8.811167e-06,1.701828e-10,1.001123e-20,1.001123e-20,1.211334e-11,426.0,248.5
40000.0,1.180874e-15,5.393847e-14,1.321153e-12,5.64221e-07,3.099939e-08,0.0003302308,1.000696e-20,5.953814e-10,1.030707e-10,5.204125e-06,6.374651e-11,0.0,7.634864e-11,1.740841e-09,3.953112e-10,3.002203e-12,5.334056e-10,2.481331e-10,0.7815387,4.516528e-08,2.942412e-16,1.120738e-08,4.03245e-09,0.2091539,7.504933e-06,2.851576e-10,1.000696e-20,1.000696e-20,1.361397e-11,305.0,254.0
42500.0,1.08081e-15,2.251484e-14,8.69662e-13,4.616925e-07,3.513161e-08,0.0003303153,1.000714e-20,4.333658e-10,7.955893e-11,5.504169e-06,5.173691e-11,0.0,7.304705e-11,1.761464e-09,4.102486e-10,3.001978e-12,2.521727e-10,1.640995e-10,0.7815888,2.752899e-08,8.725924e-17,1.190861e-08,2.171713e-09,0.2091943,5.90465e-06,4.063415e-10,1.000714e-20,1.000714e-20,1.650762e-11,220.0,259.4
45000.0,9.977226e-16,1.040722e-14,6.684443e-13,3.633099e-07,3.989511e-08,0.0003301981,1.000712e-20,2.510977e-10,4.824204e-11,5.704886e-06,4.442499e-11,0.0,7.004064e-11,1.791256e-09,4.212556e-10,3.003055e-12,1.21088e-10,9.747284e-11,0.7815762,1.592125e-08,2.982361e-17,1.17087e-08,1.150865e-09,0.2091561,4.502284e-06,5.113932e-10,1.000712e-20,1.000712e-20,2.101449e-11,159.0,264.8
47500.0,9.347634e-16,6.575112e-15,5.606013e-13,2.77541e-07,4.486094e-08,0.0003301996,1.000868e-20,1.561469e-10,1.631424e-11,5.904445e-06,3.802591e-11,0.0,6.706679e-11,1.801497e-09,4.242215e-10,3.002603e-12,7.707867e-11,4.925719e-11,0.7816971,9.386141e-09,1.301224e-17,1.100986e-08,6.664963e-10,0.2091906,3.452816e-06,5.795341e-10,1.000868e-20,1.000868e-20,2.772522e-11,116.0,269.6
50000.0,8.837363e-16,4.74413e-15,4.945079e-13,2.101659e-07,5.097974e-08,0.0003302544,1.000811e-20,1.041e-10,5.102343e-12,6.006611e-06,3.482961e-11,7.146775e-12,6.434718e-11,1.801546e-09,4.253554e-10,3.002432e-12,5.556661e-11,2.53195e-11,0.7815147,4.757236e-09,7.133669e-18,1.030953e-08,4.433971e-10,0.2091611,2.802357e-06,6.753615e-10,1.000811e-20,1.000811e-20,3.562903e-11,85.4,270.2
55000.0,8.43793e-16,3.793081e-15,4.564298e-13,1.652494e-07,5.990292e-08,0.0003302596,1.000908e-20,7.697019e-11,2.001815e-12,6.005445e-06,3.623206e-11,7.15629e-12,6.215995e-11,1.801634e-09,4.254057e-10,3.002723e-12,4.454238e-11,1.500963e-11,0.7817447,3.002723e-09,4.804356e-18,1.011276e-08,3.392718e-10,0.2091937,1.801634e-06,9.53853e-10,1.000908e-20,1.000908e-20,4.593807e-11,45.6,263.4
60000.0,8.10619e-16,3.282539e-15,4.323594e-13,1.501634e-07,6.964247e-08,0.0003303009,1.000699e-20,6.304815e-11,1.050705e-12,6.003611e-06,5.253525e-11,7.154327e-12,6.024081e-11,1.801376e-09,4.25341e-10,3.001805e-12,3.842545e-11,1.050705e-11,0.7815221,2.066026e-09,3.6627e-18,1.010642e-08,2.852665e-10,0.2090882,1.100711e-06,1.761897e-09,1.000699e-20,1.000699e-20,5.154098e-11,23.9,253.1
65000.0,7.836442e-16,2.98108e-15,4.17405e-13,1.501042e-07,9.193682e-08,0.0003301539,1.000695e-20,5.523211e-11,6.864293e-13,5.404722e-06,1.260832e-10,7.15513e-12,5.884064e-11,1.801305e-09,4.252145e-10,3.002623e-12,3.492737e-11,8.345407e-12,0.7814899,1.508044e-09,3.002623e-18,1.030586e-08,2.531629e-10,0.2091334,6.503439e-07,3.74318e-09,1.000695e-20,1.000695e-20,5.113885e-11,12.1,236.0
70000.0,7.602779e-16,2.791507e-15,4.052036e-13,1.500754e-07,1.938995e-07,0.0003301659,1.000503e-20,5.042638e-11,5.142689e-13,4.502263e-06,3.771687e-10,7.154637e-12,5.752891e-11,1.800905e-09,4.252137e-10,3.001508e-12,3.271436e-11,7.11295e-12,0.7816428,1.149536e-09,2.571084e-18,1.150578e-08,2.311057e-10,0.2091155,3.001508e-07,7.191114e-09,1.000503e-20,1.000503e-20,4.321964e-11,5.8,218.9
75000.0,7.405002e-16,2.661943e-15,3.962909e-13,1.501361e-07,5.691457e-07,0.0003302781,1.000693e-20,4.72377e-11,4.163304e-13,3.302781e-06,1.120931e-09,7.155311e-12,5.623944e-11,1.801419e-09,4.253322e-10,3.001651e-12,3.121675e-11,6.334438e-12,0.7815439,8.895647e-10,2.271868e-18,1.610668e-08,2.151844e-10,0.2091833,1.801419e-07,1.120931e-08,1.000693e-20,1.000693e-20,2.832333e-11,2.6,201.8
80000.0,7.234758e-16,2.560812e-15,3.892249e-13,1.500998e-07,1.549941e-06,0.00032822,1.000665e-20,4.493019e-11,3.532714e-13,2.101304e-06,2.00133e-09,7.155892e-12,5.504354e-11,1.801151e-09,4.251783e-10,3.001531e-12,3.013129e-11,5.782703e-12,0.7814652,7.060789e-10,2.041459e-18,2.68143e-08,2.021279e-10,0.209133,3.303076e-07,1.130793e-08,1.000665e-20,1.000665e-20,1.330973e-11,1.1,184.8
85000.0,7.074465e-16,2.491901e-15,3.833438e-13,1.501587e-07,3.852332e-06,0.0003202682,1.000873e-20,4.303587e-11,3.092647e-13,1.300968e-06,1.681644e-09,7.157825e-12,5.374482e-11,1.801682e-09,4.253571e-10,3.002619e-12,2.922593e-11,5.374482e-12,0.7819146,5.71848e-10,1.851698e-18,7.018892e-08,1.92172e-10,0.2001746,5.004364e-07,6.107492e-09,1.000873e-20,1.000873e-20,5.562875e-12,0.44,177.1
90000.0,6.945049e-16,2.431051e-15,3.782267e-13,1.400945e-07,6.594103e-06,0.0003101686,1.000695e-20,4.163051e-11,2.762106e-13,8.506549e-07,4.31366e-10,7.155333e-12,5.254254e-11,1.801621e-09,4.252564e-10,3.002228e-12,2.841673e-11,5.053916e-12,0.7806076,4.711494e-10,1.710687e-18,2.131255e-07,1.831458e-10,0.1901079,5.203104e-07,1.510349e-09,1.000695e-20,1.000695e-20,2.24208e-12,0.172,177.0
95000.0,6.796744e-16,2.365031e-15,3.721061e-13,1.297393e-07,1.041823e-05,0.0002694358,9.979375e-21,4.023466e-11,2.494844e-13,5.387978e-07,4.971248e-11,7.136028e-12,5.1077e-11,1.796361e-09,4.24105e-10,2.993813e-12,2.774384e-11,4.768416e-12,0.7774029,3.923893e-10,1.58689e-18,7.106525e-07,1.756532e-10,0.1796361,4.989688e-07,2.415186e-10,9.979375e-21,9.979375e-21,8.943084e-13,0.069,184.3
