z,CH3Cl,CH4,CO,CO2,ClO,H2CO,H2O,HBr,HCN,HCl,HF,HI,HNO3,HOCl,N2,N2O,NH3,NO,NO2,O2,O3,OH,SO2,p,t
16000.0,4.773407e-10,1.343061e-06,3.071909e-08,0.0003552705,3.161159e-13,3.581495e-11,4.001831e-06,0.0,1.521272e-10,2.371733e-10,1.050841e-11,3.002813e-12,7.376037e-10,8.775238e-12,0.7816526,2.283635e-07,2.11147e-13,2.682091e-10,3.192828e-10,0.2091605,8.50749e-07,8.257016e-14,5.755151e-11,10800.0,225.2
17000.0,4.493125e-10,1.290978e-06,2.491155e-08,0.0003551613,5.655776e-13,3.501354e-11,4.054199e-06,0.0,1.491342e-10,3.132455e-10,1.691372e-11,3.002453e-12,1.311081e-09,1.200847e-11,0.7816899,2.180891e-07,1.101e-13,2.52198e-10,5.193396e-10,0.2091766,1.000818e-06,1.04069e-13,5.374327e-11,9280.0,225.2
18000.0,4.212021e-10,1.230876e-06,1.967298e-08,0.0003551969,1.040732e-12,3.422218e-11,4.301638e-06,0.0,1.451024e-10,3.852382e-10,2.571632e-11,3.001795e-12,2.111076e-09,1.631038e-11,0.7816202,2.036265e-07,6.705724e-14,2.401358e-10,7.714895e-10,0.2091204,1.300622e-06,1.300622e-13,4.784793e-11,7980.0,225.2
19000.0,3.953299e-10,1.158069e-06,1.550136e-08,0.0003552621,2.041465e-12,3.392621e-11,4.503552e-06,0.0,1.410986e-10,4.423326e-10,4.023101e-11,3.002368e-12,3.172339e-09,2.261748e-11,0.7814134,1.818463e-07,3.973242e-14,2.442144e-10,1.060619e-09,0.2091777,1.701523e-06,1.64124e-13,3.973242e-11,6860.0,225.2
20000.0,3.692732e-10,1.072985e-06,1.332272e-08,0.0003552549,4.643451e-12,3.432918e-11,4.603399e-06,0.0,1.37127e-10,4.893779e-10,5.775988e-11,3.002354e-12,4.203401e-09,3.072446e-11,0.7815501,1.56837e-07,2.412107e-14,2.551764e-10,1.391296e-09,0.2091687,2.101701e-06,2.161779e-13,3.192603e-11,5900.0,225.2
21000.0,3.433149e-10,9.910626e-07,1.233309e-08,0.0003553352,8.156642e-12,3.683368e-11,4.703868e-06,0.0,1.341246e-10,5.224544e-10,7.776407e-11,3.002625e-12,4.944274e-09,4.293583e-11,0.7819337,1.351059e-07,1.92141e-14,2.772645e-10,1.761344e-09,0.2091903,2.702118e-06,3.403098e-13,2.672067e-11,5070.0,225.2
22000.0,3.172094e-10,9.178248e-07,1.232324e-08,0.0003552203,1.070439e-11,4.032153e-11,4.802356e-06,0.0,1.300787e-10,5.492686e-10,9.905661e-11,3.001651e-12,5.462733e-09,5.76297e-11,0.781613,1.218774e-07,1.720832e-14,3.071539e-10,2.160846e-09,0.2090957,3.301887e-06,5.092608e-13,2.281369e-11,4360.0,225.2
23000.0,2.862248e-10,8.581768e-07,1.308409e-08,0.0003552935,1.521502e-11,4.503977e-11,4.833982e-06,0.0,1.251197e-10,5.754345e-10,1.231297e-10,3.002375e-12,5.744395e-09,7.65643e-11,0.7816457,1.102778e-07,1.591151e-14,3.602684e-10,2.581993e-09,0.2091962,3.703012e-06,7.595902e-13,2.071233e-11,3750.0,225.2
24000.0,2.483161e-10,8.022296e-07,1.401503e-08,0.0003554157,2.242792e-11,5.066152e-11,4.85583e-06,0.0,1.191181e-10,6.04701e-10,1.502303e-10,3.003636e-12,5.847349e-09,9.934581e-11,0.7819727,9.905505e-08,1.44221e-14,4.515631e-10,3.063728e-09,0.2092562,4.205478e-06,1.161134e-12,1.902593e-11,3228.0,226.6
25000.0,1.911151e-10,7.482602e-07,1.511248e-08,0.0003552678,3.972973e-11,5.824081e-11,4.904191e-06,0.0,1.13083e-10,6.515131e-10,1.821654e-10,3.002104e-12,5.6145e-09,1.31073e-10,0.7815665,8.782003e-08,1.231429e-14,6.854992e-10,3.743e-09,0.2091277,4.503156e-06,2.181906e-12,1.751416e-11,2780.0,228.1
