z,C2H2,C2H6,CH3Cl,CH4,CO,CO2,COF2,ClO,H2CO,H2O,H2O2,HBr,HCN,HCl,HF,HI,HNO3,HOCl,N2,N2O,NH3,NO,NO2,O2,O3,OH,PH3,SF6,SO2,p,t
9.0,2.401993e-09,1.7210640000000001e-07,5.945115e-08,0.0001615905,1.095317e-05,0.033026110000000004,1.000778e-18,1.050547e-12,4.22301e-09,0.005570292,9.096755e-09,0.0,1.601329e-08,7.486056e-09,4.0428869999999997e-11,3.002752e-10,1.53157e-08,4.413545e-10,78.16109,3.1651750000000004e-05,3.773222e-09,3.002752e-08,2.3218230000000003e-09,20.91723,1.568011e-05,4.563475e-12,1.000778e-18,1.000778e-18,6.564615e-09,29930.0,225.7
10.0,2.271505e-09,1.581667e-07,5.884887e-08,0.0001580485,9.969579e-06,0.033027179999999996,1.0007380000000001e-18,1.210761e-12,3.6322820000000004e-09,0.0029625240000000002,5.7939319999999995e-09,0.0,1.601748e-08,5.684078e-09,6.574725e-11,3.002686e-10,1.741133e-08,4.343382e-10,78.16197,3.098366e-05,2.031715e-09,3.002686e-08,2.3813590000000002e-09,20.91958,2.371909e-05,4.683576e-12,1.0007380000000001e-18,1.0007380000000001e-18,6.084514e-09,25680.0,219.7
11.0,2.080973e-09,1.300883e-07,5.794244e-08,0.00015428380000000002,8.970756e-06,0.033017559999999994,1.000711e-18,1.871775e-12,3.432504e-09,0.001000711,3.432504e-09,0.0,1.600643e-08,4.59273e-09,1.200826e-10,3.001721e-10,2.021792e-08,4.653287e-10,78.16036,2.990711e-05,1.090722e-09,3.001721e-08,2.6218609999999998e-09,20.91983,3.626563e-05,4.803304e-12,1.000711e-18,1.000711e-18,5.7942440000000005e-09,21990.0,219.2
12.0,1.761695e-09,9.867420000000001e-08,5.663739e-08,0.00015089930000000001,7.820131e-06,0.03301976,1.0007009999999999e-18,3.181641e-12,3.3918250000000003e-09,0.0006003884,1.951022e-09,0.0,1.6010889999999998e-08,4.362523e-09,1.9606480000000002e-10,3.001942e-10,2.411501e-08,5.013933000000001e-10,78.15317,2.9377639999999997e-05,6.303917000000001e-10,3.001942e-08,3.1527610000000005e-09,20.92214,5.235348e-05,4.943337e-12,1.0007009999999999e-18,1.0007009999999999e-18,5.604374e-09,18820.0,218.7
13.0,1.230882e-09,7.224091e-08,5.483053e-08,0.0001479976,6.378818000000001e-06,0.033025479999999996,1.000676e-18,5.613958e-12,3.502646e-09,0.0005002445,1.080715e-09,0.0,1.591058e-08,6.515333e-09,3.1230220000000003e-10,3.0014670000000003e-10,2.7620969999999997e-08,5.223112999999999e-10,78.15034,2.8612109999999997e-05,3.1230220000000003e-10,2.992116e-08,4.452643e-09,20.907410000000002,7.040824e-05,5.193192e-12,1.000676e-18,1.000676e-18,5.593388e-09,16110.0,218.2
14.0,7.324689999999999e-10,4.9645600000000005e-08,5.283025e-08,0.0001452068,5.027817e-06,0.03302436,1.000765e-18,9.99674e-12,3.623082e-09,0.0004803147,6.593966e-10,0.0,1.571166e-08,1.010798e-08,4.624283e-10,3.001421e-10,3.332974e-08,5.603671e-10,78.15474,2.802926e-05,1.1109189999999999e-10,2.951252e-08,7.486103e-09,20.91616,8.005244e-05,5.6538400000000005e-12,1.000765e-18,1.000765e-18,5.6451150000000005e-09,13780.0,217.7
15.0,4.523778e-10,3.352738e-08,5.0329260000000004e-08,0.0001423068,3.94335e-06,0.033018229999999996,1.00073e-18,1.781253e-11,3.622586e-09,0.00047045249999999995,4.2030150000000005e-10,0.0,1.551119e-08,1.631309e-08,7.094974000000001e-10,3.001426e-10,4.523778e-08,6.865858e-10,78.15418,2.726486e-05,4.472863e-11,2.8308619999999997e-08,1.711246e-08,20.91579,9.006824e-05,6.753845e-12,1.00073e-18,1.00073e-18,5.75337e-09,11780.0,217.2
16.0,2.591759e-10,2.1416259999999998e-08,4.774684e-08,0.0001391106,3.0721989999999998e-06,0.03300979,1.000693e-18,3.161334e-11,3.5832410000000004e-09,0.00046023559999999996,2.942061e-10,0.0,1.5209460000000002e-08,2.371595e-08,1.0506089999999998e-09,3.0008900000000004e-10,7.374465e-08,8.776862e-10,78.142,2.6128550000000002e-05,2.11132e-11,2.681786e-08,3.191046e-08,20.91413,0.00011008220000000001,8.256905000000001e-12,1.000693e-18,1.000693e-18,5.755173e-09,10070.0,216.7
17.0,1.550782e-10,1.490803e-08,4.493212e-08,0.0001356631,2.490335e-06,0.03301956,1.0005719999999999e-18,5.654651e-11,3.501654e-09,0.0004503612,2.301384e-10,0.0,1.490803e-08,3.131727e-08,1.6908480000000002e-09,3.001715e-10,1.3108669999999998e-07,1.200617e-09,78.14582,2.422382e-05,1.100767e-11,2.5215380000000003e-08,5.1935419999999996e-08,20.91285,0.0001400662,1.040442e-11,1.0005719999999999e-18,1.0005719999999999e-18,5.373826e-09,8610.0,216.2
18.0,8.635074e-11,1.050857e-08,4.2123299999999996e-08,0.00013239909999999998,1.9673730000000003e-06,0.03302289,1.000681e-18,1.040741e-10,3.422468e-09,0.0004503673,2.2417199999999998e-10,0.0,1.4510490000000001e-08,3.852603e-08,2.571909e-09,3.002044e-10,2.111425e-07,1.6311150000000001e-09,78.1365,2.175359e-05,6.7049290000000004e-12,2.401554e-08,7.716535e-08,20.91598,0.0001801064,1.3009259999999998e-11,1.000681e-18,1.000681e-18,4.782876e-09,7360.0,215.7
19.0,5.303805e-11,7.967536e-09,3.952541e-08,0.0001281713,1.5499789999999998e-06,0.033019849999999996,1.000673e-18,2.041563e-10,3.392354e-09,0.00045027930000000004,2.6817099999999997e-10,0.0,1.410878e-08,4.422834e-08,4.022565e-09,3.00202e-10,3.172347e-07,2.2615689999999998e-09,78.16134,1.844267e-05,3.9728860000000006e-12,2.441832e-08,1.0607610000000001e-07,20.91242,0.00023013119999999997,1.641293e-11,1.000673e-18,1.000673e-18,3.972886e-09,6280.0,215.2
