z,C2H2,C2H6,CH3Cl,CH4,CO,CO2,COF2,ClO,H2CO,H2O,H2O2,HBr,HCN,HCl,HF,HI,HNO3,HOCl,N2,N2O,NH3,NO,NO2,O2,O3,OH,PH3,SF6,SO2,p,t
21.0,1.890938e-11,4.572796e-09,3.432173e-08,0.0001355778,1.2327459999999999e-06,0.03301868,1.000621e-18,8.157699e-10,3.68248e-09,0.0002651555,5.623721e-10,0.0,1.340626e-08,5.223109e-08,7.775875e-09,3.001864e-10,4.943105e-07,4.292792e-09,78.12239,2.1951850000000002e-05,1.9212409999999998e-12,2.7715569999999997e-08,1.7612389999999998e-07,20.91547,0.0001801239,3.40187e-11,1.000621e-18,1.000621e-18,2.6715559999999998e-09,4800.0,210.7
22.0,1.040304e-11,3.401272e-09,3.171623e-08,0.0001272851,1.232282e-06,0.033012980000000004,1.000459e-18,1.07073e-09,4.031539e-09,0.00028014310000000004,1.0301620000000001e-09,0.0,1.3003800000000001e-08,5.492746e-08,9.90317e-09,3.001378e-10,5.462319e-07,5.762964e-09,78.16767,2.05163e-05,1.7205580000000001e-12,3.071649e-08,2.161021e-07,20.907500000000002,0.0002400812,5.092128e-11,1.000459e-18,1.000459e-18,2.2812790000000003e-09,4090.0,214.6
23.0,5.7542609999999995e-12,2.6014869999999997e-09,2.8617219999999998e-08,0.0001191599,1.30802e-06,0.03302579,1.000704e-18,1.5211719999999998e-09,4.502738999999999e-09,0.0002901955,1.9714460000000002e-09,0.0,1.2506659999999998e-08,5.754261e-08,1.2309770000000002e-08,3.0021110000000003e-10,5.743988e-07,7.655512e-09,78.1559,1.968022e-05,1.591367e-12,3.602191e-08,2.581799e-07,20.91291,0.0003402735,7.59559e-11,1.000704e-18,1.000704e-18,2.071602e-09,3500.0,217.0
24.0,2.231535e-12,1.891559e-09,2.481725e-08,0.0001118794,1.401267e-06,0.03302914,1.000761e-18,2.241624e-09,5.0643340000000005e-09,0.0003202031,3.702411e-09,0.0,1.1904210000000001e-08,6.044918e-08,1.501141e-08,3.002282e-10,5.844161e-07,9.92791e-09,78.16426,1.876427e-05,1.4406109999999998e-12,4.513512e-08,3.0628119999999997e-07,20.91308,0.0004303675,1.1611649999999999e-10,1.000761e-18,1.000761e-18,1.9016470000000002e-09,3000.0,219.2
25.0,8.515225999999999e-13,1.2203689999999999e-09,1.911436e-08,0.000105575,1.5224880000000001e-06,0.03301895,1.000679e-18,3.9727409999999996e-09,5.823515000000001e-09,0.0003251939,6.204137e-09,0.0,1.1308039999999999e-08,6.514582e-08,1.8210379999999998e-08,3.0021550000000004e-10,5.614173e-07,1.3107670000000001e-08,78.15832999999999,1.756808e-05,1.231074e-12,6.854763e-08,3.7419890000000004e-07,20.91042,0.0005403642000000001,2.1814389999999999e-10,1.000679e-18,1.000679e-18,1.7508609999999998e-09,2570.0,221.4
27.5,4.092401e-13,5.743939e-10,1.100788e-08,9.877228999999999e-05,1.723182e-06,0.03303076,1.0007009999999999e-18,8.485243000000001e-09,7.215924e-09,0.000360174,1.030745e-08,0.0,1.050656e-08,7.514587e-08,2.302198e-08,3.0026350000000004e-10,4.82306e-07,1.8417580000000002e-08,78.15028000000001,1.589139e-05,9.375901e-13,1.2808750000000001e-07,4.814171e-07,20.90645,0.0007806139,5.004391e-10,1.0007009999999999e-18,1.0007009999999999e-18,1.541139e-09,1763.0,227.0
30.0,2.522252e-13,2.141837e-10,4.724293e-09,9.143622e-05,1.996717e-06,0.033020100000000004,1.0008560000000001e-18,1.851597e-08,8.738757999999999e-09,0.000400395,1.3612899999999999e-08,0.0,9.737774e-09,9.887626e-08,2.8314210000000002e-08,3.002305e-10,3.74368e-07,2.4520579999999997e-08,78.15983,1.417288e-05,6.354264999999999e-13,2.452058e-07,6.164978e-07,20.91886,0.0009309249,1.170952e-09,1.0008560000000001e-18,1.0008560000000001e-18,1.3410470000000001e-09,1220.0,232.3
32.5,1.861298e-13,8.497564e-11,1.791191e-09,8.304962e-05,2.267686e-06,0.0330234,1.000756e-18,3.572752e-08,1.0107709999999999e-08,0.00043027100000000003,1.36092e-08,0.0,9.048402999999999e-09,1.2807979999999998e-07,3.2025719999999995e-08,3.0022670000000004e-10,2.592027e-07,2.962206e-08,78.15755,1.166007e-05,3.6829200000000003e-13,4.533831e-07,7.21484e-07,20.91649,0.0009857327999999999,3.402492e-09,1.000756e-18,1.000756e-18,1.211076e-09,852.0,237.7
35.0,1.521046e-13,3.4224929999999995e-11,7.356288999999999e-10,7.468172000000001e-05,2.488831e-06,0.03302778,1.000791e-18,5.083951e-08,1.110995e-08,0.0004603415,1.131134e-08,0.0,8.463928e-09,1.571393e-07,3.482909e-08,3.002373e-10,1.64132e-07,3.212712e-08,78.15008,9.280672e-06,1.8214509999999998e-13,7.143712e-07,7.283565000000001e-07,20.91648,0.0009705826000000001,8.357639e-09,1.000791e-18,1.000791e-18,1.160783e-09,600.0,243.1
37.5,1.321675e-13,1.34181e-11,3.033168e-10,6.625289e-05,2.740805e-06,0.03303785,1.001123e-18,6.076806e-08,1.1315989999999999e-08,0.0004905742,8.52122e-09,0.0,8.029116e-09,1.692163e-07,3.7242079999999996e-08,3.003368e-10,9.689061999999999e-08,3.043638e-08,78.18904,6.700192e-06,9.270249999999999e-14,9.350791e-07,6.266882e-07,20.924509999999998,0.0008811167,1.7018279999999997e-08,1.001123e-18,1.001123e-18,1.211334e-09,426.0,248.5
