z,CH4,HCN,COF2,HCl,HNO3,HI,H2O,SF6,CO2,NO,t,OH,H2O2,N2O,ClO,CO,CH3Cl,NH3,N2,HOCl,O2,O3,H2CO,SO2,C2H2,HF,PH3,HBr,NO2,C2H6,p
78.15587000000001,0.00015804599999999998,1.601271e-08,1.000765e-18,5.684799e-09,1.741165e-08,3.002527e-10,0.024741649999999997,1.000765e-18,0.0330197,3.002527e-08,3.002527e-08,4.683572e-12,5.794634e-09,3.098487e-05,1.210491e-12,9.969498999999999e-06,5.884814e-08,2.031359e-09,78.15587000000001,4.3436630000000003e-10,20.91479,1.3052959999999999e-05,3.63263e-09,6.084828e-09,2.271839e-09,6.575036000000001e-11,1.000765e-18,0.0,2.3816730000000002e-09,1.581616e-07,28100.0
78.15703,0.000154312,1.601621e-08,1.0007530000000001e-18,4.59296e-09,2.021527e-08,3.00174e-10,0.009562926000000001,1.0007530000000001e-18,0.03302043,3.00174e-08,3.00174e-08,4.803563e-12,3.432045e-09,2.9913390000000003e-05,1.872025e-12,8.970118e-06,5.794176e-08,1.090844e-09,78.15703,4.654061e-10,20.917279999999998,1.794024e-05,3.432045e-09,5.7941759999999995e-09,2.081327e-09,1.200956e-10,1.0007530000000001e-18,0.0,2.6221350000000003e-09,1.3013170000000001e-07,24300.0
78.15691,0.0001509682,1.6007329999999998e-08,1.000679e-18,4.3630999999999995e-09,2.41138e-08,3.001742e-10,0.002945937,1.000679e-18,0.03302798,3.001742e-08,3.001742e-08,4.9431819999999995e-12,1.95172e-09,2.9385940000000002e-05,3.1823749999999996e-12,7.818628e-06,5.664246e-08,6.30454e-10,78.15691,5.013673e-10,20.91233,2.232215e-05,3.3923800000000002e-09,5.6040350000000005e-09,1.760807e-09,1.962e-10,1.000679e-18,0.0,3.151536e-09,9.867273e-08,20900.0
78.15078,0.0001480121,1.591147e-08,1.00073e-18,6.515062e-09,2.761494e-08,3.0028540000000004e-10,0.0008006502,1.00073e-18,0.033024740000000004,2.992867e-08,2.992867e-08,5.193407e-12,1.080795e-09,2.8613669999999998e-05,5.614539e-12,6.378569e-06,5.484703e-08,3.122702e-10,78.15078,5.223368999999999e-10,20.92344,3.0028539999999998e-05,3.5022200000000003e-09,5.594564e-09,1.230937e-09,3.122702e-10,1.00073e-18,0.0,4.45268e-09,7.225826e-08,17900.0
78.15263,0.0001452101,1.571033e-08,1.000704e-18,1.0106310000000001e-08,3.332436e-08,3.001528e-10,0.0005004493,1.000704e-18,0.03303238,2.952865e-08,2.952865e-08,5.65463e-12,6.594797e-10,2.801037e-05,9.997308e-12,5.027852e-06,5.2828450000000006e-08,1.110877e-10,78.15263,5.604020000000001e-10,20.90558,4.40302e-05,3.622467e-09,5.6448970000000005e-09,7.324741e-10,4.622976e-10,1.000704e-18,0.0,7.484355e-09,4.963616e-08,15300.0
78.1426,0.0001422878,1.5509390000000002e-08,1.000665e-18,1.631121e-08,4.5222359999999995e-08,3.001079e-10,0.0003401986,1.000665e-18,0.03301187,2.831552e-08,2.831552e-08,6.7535729999999996e-12,4.2038010000000003e-10,2.7261709999999998e-05,1.781175e-11,3.942638999999999e-06,5.033107e-08,4.471837e-11,78.1426,6.863536e-10,20.91363,5.0033250000000004e-05,3.621913e-09,5.754741e-09,4.5222360000000003e-10,7.094916999999999e-10,1.000665e-18,0.0,1.711073e-08,3.351587e-08,13000.0
78.15684,0.00013911539999999999,1.521281e-08,1.0007719999999999e-18,2.3718039999999997e-08,7.375666e-08,3.002317e-10,0.0003302817,1.0007719999999999e-18,0.03302817,2.6819630000000002e-08,2.6819630000000002e-08,8.255702e-12,2.94329e-10,2.6130090000000002e-05,3.163299e-11,3.0720759999999995e-06,4.773121e-08,2.1115489999999998e-11,78.15684,8.776211e-10,20.91695,6.0046340000000004e-05,3.5818529999999997e-09,5.755112e-09,2.592081e-10,1.050945e-09,1.0007719999999999e-18,0.0,3.192813e-08,2.141599e-08,11100.0
78.15345,0.0001356792,1.490966e-08,1.000665e-18,3.132094e-08,1.311022e-07,3.001995e-10,0.0003200749,1.000665e-18,0.03301066,2.5217260000000004e-08,2.5217260000000004e-08,1.040792e-11,2.301655e-10,2.4226629999999998e-05,5.652253e-11,2.490691e-06,4.492334e-08,1.100669e-11,78.15345,1.200673e-09,20.91302,7.003402e-05,3.501701e-09,5.373245e-09,1.551156e-10,1.690974e-09,1.000665e-18,0.0,5.194555e-08,1.490966e-08,9500.0
78.1517,0.0001324155,1.4513360000000001e-08,1.000858e-18,3.852289e-08,2.111939e-07,3.002574e-10,0.000315261,1.000858e-18,0.03302647,2.402059e-08,2.402059e-08,1.3013e-11,2.2420690000000001e-10,2.175714e-05,1.04104e-10,1.967801e-06,4.213556e-08,6.705563e-12,78.1517,1.6312320000000002e-09,20.91664,0.00010008579999999999,3.422823e-09,4.7849479999999995e-09,8.637238e-11,2.5723709999999998e-09,1.000858e-18,0.0,7.715637e-08,1.050993e-08,8120.0
78.17889,0.0001282203,1.4112029999999999e-08,1.0008280000000001e-18,4.4240770000000005e-08,3.172608e-07,3.002485e-10,0.0003202477,1.0008280000000001e-18,0.03302907,2.4419000000000002e-08,2.4419000000000002e-08,1.6414969999999998e-11,2.682151e-10,1.8445199999999997e-05,2.0414819999999998e-10,1.5501580000000001e-06,3.953099e-08,3.973444e-12,78.17889,2.26182e-09,20.91697,0.0001501242,3.392946e-09,3.9734439999999995e-09,5.3028319999999996e-11,4.023226e-09,1.0008280000000001e-18,0.0,1.0609990000000001e-07,7.96507e-09,6950.0
