z,CH4,HCN,OH,C2H2,NO,HCl,C2H6,CO,t,H2O,CO2,SF6,ClO,HI,N2O,H2CO,HOCl,NH3,HF,H2O2,SO2,N2,COF2,HBr,NO2,PH3,CH3Cl,O3,O2,HNO3
0.0,0.0001701557,1.701557e-08,4.404333e-12,3.0025509999999996e-08,3.0025509999999996e-08,1.0008499999999999e-07,2.0017010000000002e-07,1.50146e-05,272.2,0.43194210000000005,0.03302696,1.00085e-18,1.00085e-12,3.002551e-10,3.202648e-05,2.401893e-07,7.704812999999999e-10,5.006098e-08,1.00085e-12,2.001701e-08,3.0025509999999996e-08,78.15568,1.00085e-18,0.0,2.301845e-09,1.00085e-18,7.007061e-08,2.780304e-06,20.91781,5.006098e-09
1000.0,0.0001700958,1.65093e-08,4.403307e-12,1.7208039999999997e-08,3.001691e-08,7.495958e-08,2.001127e-07,1.4508169999999999e-05,268.7,0.34560789999999997,0.0330186,1.000564e-18,1.000564e-12,3.0016910000000003e-10,3.201803e-05,1.070438e-07,1.060515e-09,5.002818e-08,1.000564e-12,1.9510990000000002e-08,2.741627e-08,78.14318999999999,1.000564e-18,0.0,2.301296e-09,1.000564e-18,6.702121999999999e-08,2.8015780000000002e-06,20.91261,5.962036e-09
2000.0,0.0001701212,1.631197e-08,4.402564e-12,9.574823000000001e-09,3.001811e-08,5.615066e-08,2.001208e-07,1.3998250000000001e-05,265.2,0.2789913,0.03301807,1.000604e-18,1.0006039999999999e-12,3.001811e-10,3.202118e-05,4.0422909999999995e-08,1.220848e-09,4.633009e-08,1.2305849999999999e-12,1.920992e-08,2.3614810000000002e-08,78.1287,1.000604e-18,0.0,2.301203e-09,1.000604e-18,6.435765e-08,2.850654e-06,20.9116,6.931894e-09
3000.0,0.0001701445,1.6113469999999998e-08,4.404383e-12,6.7443259999999996e-09,3.002917e-08,4.224187e-08,2.001945e-07,1.3504279999999999e-05,261.7,0.20899600000000002,0.03303418,1.000972e-18,1.0009719999999999e-12,3.0029170000000003e-10,3.202904e-05,2.272239e-08,1.141067e-09,3.803904e-08,1.971739e-12,1.892057e-08,1.901952e-08,78.17168,1.000972e-18,0.0,2.3024449999999997e-09,1.000972e-18,6.223528e-08,3.202904e-06,20.92043,7.91612e-09
4000.0,0.000169875,1.601214e-08,4.404209e-12,5.074768e-09,3.002711e-08,3.193138e-08,1.982068e-07,1.313251e-05,255.7,0.1281319,0.03302866,1.000904e-18,1.000904e-12,3.002711e-10,3.203008e-05,1.4014979999999999e-08,9.811644000000001e-10,2.8825329999999998e-08,3.182688e-12,1.8415699999999998e-08,1.4612959999999999e-08,78.14480999999999,1.000904e-18,0.0,2.3019630000000003e-09,1.000904e-18,6.072769e-08,3.5705089999999996e-06,20.91796,8.876925e-09
5000.0,0.00016877899999999998,1.600837e-08,4.402789e-12,3.992684e-09,3.001813e-08,2.391198e-08,1.951244e-07,1.303641e-05,249.7,0.08247524,0.033022539999999996,1.000604e-18,1.0006039999999999e-12,3.001813e-10,3.2016750000000005e-05,1.000604e-08,8.01392e-10,2.041441e-08,5.633105e-12,1.770849e-08,1.1809990000000001e-08,78.12761,1.000604e-18,0.0,2.3016500000000002e-09,1.000604e-18,6.023743e-08,4.722697e-06,20.91406,9.752973e-09
6000.0,0.0001673293,1.6013e-08,4.402484e-12,3.1916919999999996e-09,3.001892e-08,1.7910999999999997e-08,1.900907e-07,1.288603e-05,243.7,0.051064160000000004,0.03302226,1.000631e-18,1.000631e-12,3.0018920000000003e-10,3.201872e-05,7.446552999999999e-09,6.424107e-10,1.46095e-08,9.184567e-12,1.66093e-08,9.715425000000001e-09,78.17427,1.000631e-18,0.0,2.301596e-09,1.000631e-18,6.003784e-08,5.8408899999999996e-06,20.91434,1.110438e-08
7000.0,0.00016507679999999998,1.6017360000000003e-08,4.41458e-12,2.803038e-09,3.003254e-08,1.3214320000000001e-08,1.851803e-07,1.2487000000000001e-05,237.7,0.023233339999999998,0.03303171,1.001085e-18,1.001085e-12,3.003254e-10,3.203471e-05,6.046552e-09,5.426288e-10,9.888266e-09,1.531455e-11,1.4914120000000002e-08,8.311047e-09,78.18268,1.001085e-18,0.0,2.302904e-09,1.001085e-18,6.006509e-08,7.899172e-06,20.920630000000003,1.261775e-08
8000.0,0.0001629478,1.600923e-08,4.451818e-12,2.550607e-09,3.001039e-08,9.966619e-09,1.7906749999999999e-07,1.185493e-05,231.7,0.01077721,0.03301327,1.0003459999999999e-18,1.010479e-12,3.0010390000000003e-10,3.1963190000000005e-05,5.011864e-09,4.701443999999999e-10,6.4819870000000006e-09,2.410595e-11,1.2306290000000001e-08,7.212442e-09,78.13019,1.0003459999999999e-18,0.0,2.300981e-09,1.0003459999999999e-18,5.981814e-08,1.0390339999999999e-05,20.90963,1.3909050000000002e-08
9000.0,0.0001615905,1.601329e-08,4.563475e-12,2.401993e-09,3.002752e-08,7.486056e-09,1.7210640000000001e-07,1.095317e-05,225.7,0.005570292,0.033026110000000004,1.000778e-18,1.050547e-12,3.002752e-10,3.1651750000000004e-05,4.22301e-09,4.413545e-10,3.773222e-09,4.0428869999999997e-11,9.096755e-09,6.564615e-09,78.16109,1.000778e-18,0.0,2.3218230000000003e-09,1.000778e-18,5.945115e-08,1.568011e-05,20.91723,1.53157e-08
