,CH3Cl,CH4,CO,CO2,ClO,H2CO,H2O,HBr,HCN,HCl,HF,HI,HNO3,HOCl,N2,N2O,NH3,NO,NO2,O2,O3,OH,SO2,p,t,z
36,4.944858e-11,1.9819500000000002e-05,3.143826e-05,0.03553237,1.041056e-08,5.105117000000001e-10,0.0004954874999999999,7.149042000000001e-10,6.4353900000000005e-09,1.801659e-07,4.254369e-08,3.002973e-10,5.555219e-09,2.532213e-09,78.18872999999999,3.975794e-07,7.136522000000001e-16,1.03104e-06,4.43466e-08,20.92128,0.0002602326,6.754655e-08,3.5632529999999998e-09,57.19,259.3,50000.0
37,4.5632709999999996e-11,1.591282e-05,4.845634e-05,0.03552268,7.695584e-09,2.001665e-10,0.0004854009,7.154787e-10,6.214376e-09,1.801858e-07,4.253389e-08,3.0018999999999997e-10,4.453197e-09,1.5015479999999998e-09,78.15229000000001,2.510158e-07,4.803758e-16,1.010763e-06,3.391944e-08,20.91399,0.0001600854,9.536925e-08,4.593182e-09,29.9,259.1,55000.0
38,4.3223980000000004e-11,1.5012179999999999e-05,7.151848e-05,0.03553574,6.304801e-09,1.050875e-10,0.0004503429,7.156318e-10,6.025432e-09,1.801372e-07,4.253115e-08,3.001541e-10,3.844118e-09,1.050875e-09,78.15629,1.7273949999999998e-07,3.663087e-16,1.010869e-06,2.851799e-08,20.91692,9.507488e-05,1.7613660000000002e-07,5.1538e-09,15.5,250.9,60000.0
39,4.172896e-11,1.5012349999999999e-05,0.00010675360000000001,0.03552519,5.522185e-09,6.863659e-11,0.00040027160000000005,7.154528999999999e-10,5.882516e-09,1.801222e-07,4.252777e-08,3.002037e-10,3.4921739999999996e-09,8.344056e-10,78.14412,1.2607249999999998e-07,3.002037e-16,1.030634e-06,2.53187e-08,20.91224,6.503328e-05,3.7426690000000006e-07,5.114099e-09,7.9,248.4,65000.0
40,4.051485e-11,1.5009890000000001e-05,0.0001516236,0.0355172,5.041698e-09,5.1416510000000003e-11,0.0003300991,7.152569999999999e-10,5.752381e-09,1.800848e-07,4.2513910000000004e-08,3.001132e-10,3.2713439999999996e-09,7.112758000000001e-10,78.13276,9.605654e-08,2.5708249999999997e-16,1.150307e-06,2.310778e-08,20.90543,5.001886e-05,7.192382e-07,4.321697e-09,4.0,245.4,70000.0
41,3.963135e-11,1.501001e-05,0.0002167896,0.03551591,4.723033e-09,4.162426e-11,0.00027025789999999997,7.15503e-10,5.623893e-09,1.80172e-07,4.25316e-08,3.002326e-10,3.1222250000000004e-09,6.333563e-10,78.14473,7.558473e-08,2.271593e-16,1.6110160000000001e-06,2.151694e-08,20.917450000000002,3.302072e-05,1.120728e-06,2.8322e-09,2.0,234.7,75000.0
42,3.891436e-11,1.5012109999999999e-05,0.0003062266,0.03529814,4.493072e-09,3.533014e-11,0.00020014009999999997,7.155634e-10,5.504333e-09,1.801389e-07,4.2530580000000004e-08,3.002102e-10,3.012022e-09,5.782750000000001e-10,78.14873,6.102769999999999e-08,2.0414040000000003e-16,2.681762e-06,2.0215620000000002e-08,20.91327,1.3008790000000001e-05,1.130949e-06,1.330961e-09,0.966,223.9,80000.0
43,3.834107e-11,1.501866e-05,0.0004568367,0.03445727,4.304217e-09,3.0933080000000004e-11,0.00013312140000000002,7.159528e-10,5.3752029999999995e-09,1.801978e-07,4.2545249999999995e-08,3.003079e-10,2.92331e-09,5.375203e-10,78.19904,5.0293230000000006e-08,1.85167e-16,7.015683000000001e-06,1.922284e-08,20.02052,7.506062e-05,6.106195e-07,5.56547e-10,0.45,213.1,85000.0
44,3.785971e-11,1.402109e-05,0.0006888863,0.03340725,4.16761e-09,2.764118e-11,8.513594999999999e-05,7.161265e-10,5.2586e-09,1.803107e-07,4.257489e-08,3.004717e-10,2.844318e-09,5.058101e-10,78.12540999999999,4.217389e-08,1.713228e-16,2.133584e-05,1.833527e-08,19.02665,8.013039000000001e-05,1.5127290000000002e-07,2.2442039999999998e-10,0.202,202.3,90000.0
45,3.720031e-11,1.296888e-05,0.001052301,0.0289759,4.020963e-09,2.4938930000000003e-11,5.387962e-05,7.132727e-10,5.106238e-09,1.795667e-07,4.238658e-08,2.992672e-10,2.773056e-09,4.766889999999999e-10,77.69806,3.569565e-08,1.5859749999999999e-16,7.103914e-05,1.75565e-08,17.95667,7.981098e-05,2.414178e-08,8.938317999999999e-11,0.091,211.0,95000.0
